Opcode,SHA-256 Hash
biceq.w,e358be2a662ed172623d20052a85f78a71b1f04ba35a836876bf676d34a0e44d
itet,87f7dec6e92b4f42019b4aa5f9107d93f4669032829540c135346b228087f96a
lsrlt,7e321b0e3be4638913ca98a3f14ef90e0d4c56a815743a9b9d92b7838566e4ed
orrlt,88d70e23c9de4eaac32da78bac84c122ced3d978bb081081088817bf2109ee36
bxcc,ff71a2a973d313576c1a76a25863d49e80d3a21dbcbd0a00c4b5a278e9456e31
subeq.w,6b69a683eea90a9bfda63b2eee695d8b7f2c5fb2ac27459a2b3ae4dfc2ded692
cbnz,0fe6f9925143ba91003be2c74582b6142a1e7ed8f1881f0b40f8db63dccbb26a
movlt,de1d5f02a23e6449ef2cb44e8dd022bfc5608336993726887197568e2849b3c1
movlt.w,dc80f36033aae13baa19a0bc96cd5382f30920b926eb2c9638a38c3e3d9ac447
cmpeq,1f13a6d41751845f5f4928aecc7887886a90c8702c1a3657543659effe0d126e
mvnne.w,f7d0fcc8eb7ec29f917b17c01f491b1da6924dab3389ea06283ba7333d5a14bd
movne.w,0039576d9a27144b36989c44cd1e057d64017659248d45f5f8498ac678a8c55d
b.w,ac24d6a666e1b0e57c7d6edf4ff54e7be37d4013ba0d1751054fad0685ecf360
strd,8d7462a650b980cfaa7a241f3c0b5651168f25f48a57995e1e4ccacdf3297aa3
ldrd,9133e8f18e23b9b11278096607df0a73dc62d31ac1ab0145d25a89179d726c0c
cbz,8a5272ba7952b6b0a7b79872fec4e8bbfebbccbf43f1fdaa9296f416a7db5ac3
movs,1eab85ed669bbedf6f50d5e2ec90edcb947b12e517182476a9517215518b12c3
rbit,6b72577f3a7095ff88ef755e304f75ac8b3bcd9b27757fbefbade476fa2a4b98
vmov,f85dce2114e66860ffa289768ce1d14c3fa38ef69716be26ced24ac37f943ef3
vcmpe.f64,2b21b78cd274d39f817b20fa44ac892137fa251834ff68f7655ceca7362fc9e4
bmi.n,d60b550ab2981c02d80b11a60b228050f666f990a498a14165b3b8d424542f61
vneg.f64,819e96b922e38a61c1b4b45eb800167ce7230cefa3b0e8140a4ef2a557dd2cfa
vldr,17127aa61859af01c542aa4e75eaa2c925e41d75a76f946efb395958a252ad12
vcvt.f64.f32,463443f795a205be3b4f4d4694fb92a476be8811716e9015121862d8bdf12dd5
vmul.f64,0cde5db3b8e5fd0a9364c3bfd5d883d8c75c5e92421b391cfac3141165f94f79
vcvt.u32.f64,f314c176ea47206b8aff2a7ce67c213d918b1cc34f1fb0986fe8cd001a2be52e
vcvt.f64.u32,47dd08261687d8e2ac7f05c8e05d613ca553c2b1d8f1eb1e8e83ceb4515d5917
vfms.f64,0fd15ce91bc2306bec11964c9c33992f9166474dac693555c2738e9c2ba3120b
andeq,ab36fe8780434b2f12f169ab0d339982fbe1c4d478cf35e14bff4e23450dc75e
ldclcc,50f80ab56fb915e86597bce1488695948443143805df31c96ff4dbe7259bf499
mvnsmi,2a4bff77574903120bd18e5e43528b2d49b8d9d4a96d18ad933c9bcefb8c114b
ldr,6d860c0f8a4b7afeb5cb858dc00342af1fb82cd160468b9ce8e7510619943d4b
bls.n,9e2a436b8430566a56e76f114fa5b2d95b7d2246b18b523910eee706950a7b8a
udiv,9825d4743d2b644ea3a772b8e3c2c88eed84d24bb2e9f7f5e4f84c6793d2fe61
uxth.w,e12c993f20bcfb8dc078798a6d3cbaacab6173274cb4cfbb87109d5be1b4fd5d
mls,b208d4035461f7823e4b083b8a8a255f8f5cc0b9fc8b8c43b5882df0d7be7b0f
mul.w,b366679a2921b486ea53442b31f8397729b118171b6270ea9143a2d37c82c680
bls.w,8e60ab594d215066c1e42bcc249711e6f93dfd72556acdae9454a4d32b344df4
uxth,a173033c249820cfabc4f404a962c0cfbcd5936f2f53b5614238bb969868b034
bhi.w,095cf0f7759c26f85b8320a05c14c84b352cac2651bdbafc88558bc1a1504a2d
udf,037ab322e13ff495bfa25eb0ecfa5af6d87332662850cf3454562759700a030e
bne.w,fc1581060ee886619e406a57496dad714db8ccf236958bbfb6d813a619a5ad1f
orrs,fdf22379d96e855f866203549a9c71733892d72dde56033431e3816420448912
umull,a761e2d3c60500c0d6358ad7001ee0e0e8963891ff737f1ac9a53a32952089c2
cpsid,a15cb17d591e9295f82dd6ad5b7802815c1e1d835f1dc3a89e7b7de378638339
msr,f4b4780b7e3adf00588aa0b7865cd36b7203e999176a894beb1859fb7aaa3eb5
movw,98da26571b59e6741785bbc42e9c0abbda53e31e14b48d6ec7318f4be0d9cf8e
movt,ddbacb7c4b0f4cdd24be3fcf7217b8276fd3ab01f728a52855705fa6c521621a
dsb,88cc52b9b909357ea338474db04c51668dc4f4f7db342892fa90f1dd1458b3d9
isb,d32075b8c26f023eaaf85f345d4801856d1eb5cbfb99a51d12dc6686cafbe5be
vmsr,c11e9afb2288af0eeea69d12817876215cb06f85ca82941c9b2ce2c7371f6e8d
strcc.w,b82faafe6f035701d21867e7f5e39c0431959ad26b6e5c598ec45ad3593b6a03
ldrcc.w,868eaabf9258595b333cc586ed452c854f8b161a264442a6cab72cc0526021a7
blx,17000b428c172337d672ba9c4512bdec2b9bc356dde4b684aaee710ae2062782
andcc,cbbf397e5fb546d882d69336b92d1cd370d18b51274fb90a868e91e1f9db7d6d
stmdaeq,9fcf3c7e17ee676cbeaf5dfd4a08bb3d2f3ca6335a625051c213b07b4fd54ab5
and,a29aa69b36064e8b0d95c53a85b0367303f158374c6a960ff4f7719d6ba65bb8
